symbol,observations,first_date,last_date,minimum_price,maximum_price,largest_absolute_daily_return,largest_move_date
AGG,1618,2020-01-02,2026-06-29,91.75,119.63,0.03228723885321505,2020-03-18
DBA,1618,2020-01-02,2026-06-29,13.19,28.75,0.04947283049472828,2024-05-13
DBC,1618,2020-01-02,2026-06-29,10.5,31.87,0.08740740740740738,2020-03-09
DIA,1618,2020-01-02,2026-06-29,188.87,521.93,0.11530789797563967,2020-03-12
EEM,1618,2020-01-02,2026-06-29,30.7,71.1,0.12022160664819947,2020-03-16
EFA,1618,2020-01-02,2026-06-29,46.9,105.79,0.12482319660537489,2020-03-12
EWJ,1618,2020-01-02,2026-06-29,43.18,97.44,0.11269015212169742,2020-03-12
FXI,1618,2020-01-02,2026-06-29,20.99,54.44,0.1925192519251926,2022-03-16
GDX,1618,2020-01-02,2026-06-29,19.43,116.25,0.17900990099009895,2020-03-18
GLD,1618,2020-01-02,2026-06-29,138.32,506.6,0.10314000000000001,2026-01-30
HYG,1618,2020-01-02,2026-06-29,68.7,88.43,0.06752910737386797,2020-04-09
IEF,1618,2020-01-02,2026-06-29,88.95,122.98,0.02394644236546206,2020-03-20
IWM,1618,2020-01-02,2026-06-29,100.1,298.89,0.12858846918489064,2020-03-12
LQD,1618,2020-01-02,2026-06-29,98.65,139.1,0.06975451597962024,2020-03-23
MDY,1618,2020-01-02,2026-06-29,227.0,697.63,0.12111020639359948,2020-03-16
QQQ,1618,2020-01-02,2026-06-29,169.06,746.09,0.1361952123250938,2025-04-09
SHY,1618,2020-01-02,2026-06-29,80.48,86.72,0.011206169418002121,2022-06-13
SLV,1618,2020-01-02,2026-06-29,11.31,106.71,0.27604655528440036,2026-01-30
SPY,1618,2020-01-02,2026-06-29,225.93,759.63,0.11253796449173437,2025-04-09
TIP,1618,2020-01-02,2026-06-29,102.12,131.0,0.04453660295708617,2020-03-20
TLT,1618,2020-01-02,2026-06-29,82.76,171.6,0.07736852737189426,2020-03-20
UNG,1618,2020-01-02,2026-06-29,10.14,135.6,0.2567726737338045,2026-02-02
USO,1618,2020-01-02,2026-06-29,17.28,152.3,0.27393617021276595,2020-04-21
UUP,1618,2020-01-02,2026-06-29,24.09,30.72,0.06046032291308823,2023-12-18
VGK,1618,2020-01-02,2026-06-29,36.11,90.71,0.13625566832217673,2020-03-12
VNQ,1618,2020-01-02,2026-06-29,58.0,116.25,0.1627848101265823,2020-03-16
XLB,1618,2020-01-02,2026-06-29,19.1,53.57,0.1146596858638742,2020-03-24
XLC,1618,2020-01-02,2026-06-29,40.23,120.11,0.10996488147497818,2020-03-16
XLE,1618,2020-01-02,2026-06-29,12.025,62.76,0.17234042553191486,2020-03-09
XLF,1618,2020-01-02,2026-06-29,18.11,56.4,0.12294673967147829,2020-03-13
XLI,1618,2020-01-02,2026-06-29,48.82,184.37,0.1265874641540352,2020-03-24
XLK,1618,2020-01-02,2026-06-29,35.51,197.36,0.15371104815864012,2025-04-09
XLP,1618,2020-01-02,2026-06-29,48.63,89.96,0.09626411815812341,2020-03-12
XLRE,1618,2020-01-02,2026-06-29,25.45,51.93,0.16256018125177008,2020-03-16
XLU,1618,2020-01-02,2026-06-29,23.075,47.58,0.11396520890912043,2020-03-12
XLV,1618,2020-01-02,2026-06-29,76.0,160.69,0.08939478067740136,2020-03-16
XLY,1618,2020-01-02,2026-06-29,43.89,124.59,0.12643678160919536,2025-04-09
