symbol,category,n_prices,n_returns,start,end,missing_vs_spy,mean_daily_return_pct,std_daily_return_pct,annualized_return_proxy_pct,annualized_volatility_pct,positive_return_days_pct,largest_abs_daily_return_pct,largest_abs_return_date,n_abs_return_gt_20pct,min_close,max_close,lowest_low,highest_high,close_change_pct
DIA,us_equity_broad,1630,1629,2020-01-02,2026-06-29,0,0.043526,1.208018,10.968576,19.176696,53.100061,-11.530790,2020-03-12,0,188.870000,521.930000,181.190000,526.570000,80.424324
IWM,us_equity_broad,1630,1629,2020-01-02,2026-06-29,0,0.049676,1.651617,12.518230,26.218600,51.319828,-12.858847,2020-03-12,0,100.100000,298.890000,95.690000,301.480000,79.777176
MDY,us_equity_broad,1630,1629,2020-01-02,2026-06-29,0,0.049242,1.503018,12.408976,23.859668,51.872314,-12.111021,2020-03-16,0,227.000000,697.630000,214.280000,704.120000,85.452853
QQQ,us_equity_broad,1626,1625,2020-01-02,2026-06-29,4,0.086626,1.567111,21.829633,24.877112,55.938462,13.619521,2025-04-09,0,169.060000,746.090000,164.320000,748.620000,234.642940
SPY,us_equity_broad,1630,1629,2020-01-02,2026-06-29,0,0.058479,1.257187,14.736617,19.957227,54.696133,11.253796,2025-04-09,0,225.930000,759.630000,218.260000,760.390000,127.912629
XLB,us_sectors,1630,1629,2020-01-02,2026-06-29,0,0.042189,1.488078,10.631662,23.622510,52.854512,11.465969,2020-03-24,0,19.100000,53.570000,18.820000,54.140000,65.965143
XLC,us_sectors,1630,1629,2020-01-02,2026-06-29,0,0.053064,1.475126,13.372229,23.416898,52.117864,-10.996488,2020-03-16,0,40.230000,120.110000,38.680000,120.390000,98.709915
XLE,us_sectors,1630,1629,2020-01-02,2026-06-29,0,0.057421,2.114954,14.469970,33.573860,52.854512,-17.234043,2020-03-09,0,12.025000,62.760000,11.445000,63.590000,76.697429
XLF,us_sectors,1630,1629,2020-01-02,2026-06-29,0,0.045007,1.516565,11.341778,24.074723,52.056476,12.294674,2020-03-13,0,18.110000,56.400000,17.495000,56.510000,72.598779
XLI,us_sectors,1630,1629,2020-01-02,2026-06-29,0,0.058706,1.420484,14.793868,22.549491,53.161449,12.658746,2020-03-24,0,48.820000,184.370000,47.710000,186.090000,120.808203
XLK,us_sectors,1630,1629,2020-01-02,2026-06-29,0,0.099906,1.745746,25.176224,27.712858,55.003069,15.371105,2025-04-09,0,35.510000,197.360000,34.050000,199.010000,297.216274
XLP,us_sectors,1630,1629,2020-01-02,2026-06-29,0,0.023758,1.042282,5.987081,16.545721,51.872314,-9.626412,2020-03-12,0,48.630000,89.960000,47.660000,90.140000,34.761068
XLRE,us_sectors,1630,1629,2020-01-02,2026-06-29,0,0.021340,1.516756,5.377606,24.077759,52.670350,-16.256018,2020-03-16,0,25.450000,51.930000,24.880000,52.230000,17.216117
XLU,us_sectors,1630,1629,2020-01-02,2026-06-29,0,0.031538,1.354152,7.947654,21.496497,53.038674,-11.396521,2020-03-12,0,23.075000,47.580000,21.720000,47.800000,43.899765
XLV,us_sectors,1630,1629,2020-01-02,2026-06-29,0,0.034610,1.154242,8.721825,18.323021,51.626765,-8.939478,2020-03-16,0,76.000000,160.690000,73.540000,161.110000,57.647405
XLY,us_sectors,1630,1629,2020-01-02,2026-06-29,0,0.050910,1.636392,12.829424,25.976920,53.100061,12.643678,2025-04-09,0,43.890000,124.590000,40.885000,140.000000,84.161686
EEM,international_equity,1630,1629,2020-01-02,2026-06-29,0,0.034040,1.438805,8.577999,22.840314,51.565378,-12.022161,2020-03-16,0,30.700000,71.100000,30.100000,71.565000,47.007427
EFA,international_equity,1630,1629,2020-01-02,2026-06-29,0,0.031581,1.240451,7.958425,19.691542,52.547575,-12.482320,2020-03-12,0,46.900000,105.790000,45.730000,106.200000,47.462942
EWJ,international_equity,1630,1629,2020-01-02,2026-06-29,0,0.036424,1.348108,9.178914,21.400544,50.705955,-11.269015,2020-03-12,0,43.180000,97.440000,41.830000,97.520000,56.064150
FXI,international_equity,1630,1629,2020-01-02,2026-06-29,0,-0.001264,2.006455,-0.318517,31.851480,48.066298,19.251925,2022-03-16,0,20.990000,54.440000,20.810000,54.590000,-29.242762
VGK,international_equity,1630,1629,2020-01-02,2026-06-29,0,0.034030,1.371197,8.575473,21.767084,53.222836,-13.625567,2020-03-12,0,36.110000,90.710000,36.110000,91.210000,49.196685
AGG,fixed_income,1630,1629,2020-01-02,2026-06-29,0,-0.006956,0.432720,-1.752925,6.869218,48.004911,-3.228724,2020-03-18,0,91.750000,119.630000,90.820000,120.000000,-12.065150
HYG,fixed_income,1630,1629,2020-01-02,2026-06-29,0,-0.004147,0.615056,-1.045016,9.763704,50.460405,6.752911,2020-04-09,0,68.700000,88.430000,67.520000,88.530000,-9.357653
IEF,fixed_income,1622,1621,2020-01-02,2026-06-29,8,-0.008173,0.498325,-2.059672,7.910658,47.809994,2.394644,2020-03-20,0,88.950000,122.980000,88.700000,126.600000,-14.152734
LQD,fixed_income,1630,1629,2020-01-02,2026-06-29,0,-0.007396,0.675760,-1.863770,10.727362,50.890117,6.975452,2020-03-23,0,98.650000,139.100000,97.510000,139.370000,-14.583820
SHY,fixed_income,1625,1624,2020-01-02,2026-06-29,5,-0.001757,0.133075,-0.442811,2.112500,48.645320,-1.120617,2022-06-13,0,80.480000,86.720000,80.210000,87.250000,-2.952988
TIP,fixed_income,1630,1629,2020-01-02,2026-06-29,0,-0.002842,0.470531,-0.716142,7.469448,51.319828,4.453660,2020-03-20,0,102.120000,131.000000,101.740000,131.370000,-6.228669
TLT,fixed_income,1623,1622,2020-01-02,2026-06-29,7,-0.022623,1.017770,-5.700961,16.156596,48.581998,7.736853,2020-03-20,0,82.760000,171.600000,81.930000,181.410000,-36.287381
DBA,commodities,1630,1629,2020-01-02,2026-06-29,0,0.034374,1.025033,8.662231,16.271891,50.092081,-4.947283,2024-05-13,0,13.190000,28.750000,13.000000,28.835000,60.666667
DBC,commodities,1630,1629,2020-01-02,2026-06-29,0,0.040496,1.364805,10.204929,21.665605,52.117864,-8.740741,2020-03-09,0,10.500000,31.870000,10.410000,31.880000,66.061365
GLD,commodities,1630,1629,2020-01-02,2026-06-29,0,0.064497,1.163113,16.253309,18.463847,53.161449,-10.314000,2026-01-30,0,138.320000,506.600000,136.120000,514.270000,155.949156
SLV,commodities,1630,1629,2020-01-02,2026-06-29,0,0.101615,2.471678,25.607032,39.236673,50.705955,-27.604656,2026-01-30,2,11.310000,106.710000,10.870000,110.250000,213.844326
UNG,commodities,1630,1629,2020-01-02,2026-06-29,0,-0.030933,3.902176,-7.795060,61.945130,49.416820,-25.677267,2026-02-02,1,10.140000,135.600000,9.955000,138.000000,-82.618613
USO,commodities,1630,1629,2020-01-02,2026-06-29,0,0.041595,2.762239,10.481893,43.849179,51.688152,-27.393617,2020-04-21,2,17.280000,152.300000,15.760000,154.040000,4.254695
GDX,alternatives,1630,1629,2020-01-02,2026-06-29,0,0.091288,2.568447,23.004661,40.772827,49.600982,-17.900990,2020-03-18,0,19.430000,116.250000,16.100000,119.980000,158.168822
UUP,alternatives,1630,1629,2020-01-02,2026-06-29,0,0.006869,0.571387,1.731075,9.070484,50.399018,-6.046032,2023-12-18,0,24.090000,30.720000,24.050000,31.600000,8.895706
VNQ,alternatives,1630,1629,2020-01-02,2026-06-29,0,0.014853,1.470505,3.742861,23.343541,51.503990,-16.278481,2020-03-16,0,58.000000,116.250000,55.590000,117.260000,6.633210
