strategy,sample,start,end,trading_days,ending_value,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,average_gross_exposure,average_daily_turnover
MOMRA reversal baseline,training,2020-01-02,2024-05-31,1111,0.7739920928968612,-0.05650373816092091,0.25581185980207605,-0.09747147363826415,-0.4497571981951677,1.8847460544153043,0.7839118169662782
MOMRA reversal baseline,validation,2024-06-03,2025-05-30,249,1.1686016051888717,0.17154202855386425,0.22427326466693814,0.8133265460384411,-0.17177603000770147,1.9036695232424294,0.7914098046948858
MOMRA reversal baseline,test,2025-06-02,2026-06-29,270,1.2079277864996407,0.1935928985247377,0.1493907988911101,1.2547180152836772,-0.0854714147786848,1.9004834416043632,0.7927374237785783
SMA MACD 1/5,training,2020-01-02,2024-05-31,1111,0.8639548324011318,-0.03265420264752794,0.2410480668185259,-0.016053049102666705,-0.3439024229478541,1.5253905554244815,0.7950111475508278
SMA MACD 1/5,validation,2024-06-03,2025-05-30,249,1.096053238796179,0.097675815385599,0.20551682260977985,0.5542016374969524,-0.15112359820743737,1.5393709355010166,0.7918695720281131
SMA MACD 1/5,test,2025-06-02,2026-06-29,270,0.815386357009267,-0.1740286041902046,0.3152465601017756,-0.44252782186865763,-0.24352603512146465,1.5311776753629631,0.7947457222230987
Smoothed SMA MACD 10/20 (9d),training,2020-01-02,2024-05-31,1111,2.47371416423086,0.22829015571475808,0.28201193850804374,0.8698784842534213,-0.2599989712543649,1.911337068144127,0.7772367489988015
Smoothed SMA MACD 10/20 (9d),validation,2024-06-03,2025-05-30,249,0.8678408312909739,-0.13414099585344053,0.257852255082009,-0.4272978115751426,-0.2840982054059338,1.9453089638953338,0.793047130462007
Smoothed SMA MACD 10/20 (9d),test,2025-06-02,2026-06-29,270,1.6058497308368875,0.5584933917212509,0.4523420424563235,1.2140661617771804,-0.3211343782668652,1.9482942683840685,0.79150724026869
EWMA MACD (0.333/0.125),training,2020-01-02,2024-05-31,1111,2.4623706765594635,0.22700916282818207,0.2861545187178082,0.8578817232328697,-0.3170093775270042,1.9503317007487162,0.7909160431927358
EWMA MACD (0.333/0.125),validation,2024-06-03,2025-05-30,249,0.8062364442472113,-0.19655943500590545,0.27012200592886504,-0.6713699432431895,-0.30580400131768926,1.9529070966258082,0.7935443784183188
EWMA MACD (0.333/0.125),test,2025-06-02,2026-06-29,270,1.6910177716150931,0.6357988022289212,0.44577610869616185,1.3346934749493262,-0.3079436634966455,1.9537052233080832,0.7917656727424776
