sample,macd_quintile,observations,mean_return,std_return
training,0–20,8808,0.0015743760334837314,0.04299382020087145
training,20–40,7707,0.001557321072751568,0.031751631206705835
training,40–60,7707,0.001331474667866261,0.031271531319562874
training,60–80,7707,0.0006401287423528539,0.029157210978616146
training,80–100,8808,0.000950505525424138,0.03788708213860322
validation,0–20,1944,0.0013538930980038985,0.03575665618801433
validation,20–40,1701,0.001757865224082548,0.027098546778034388
validation,40–60,1701,0.002484138224401992,0.025169288435882384
validation,60–80,1701,0.0021492685624023137,0.02609907509799468
validation,80–100,1944,0.0012604088393028511,0.0344761353328826
test,0–20,2112,0.007127369336974718,0.03769395685084413
test,20–40,1848,0.0017835828546802917,0.02071757805279287
test,40–60,1848,0.0021899971825711604,0.021270312214644913
test,60–80,1848,0.0022118174358194426,0.022611278923898106
test,80–100,2112,0.0019679258997431018,0.04409029193561048
