fast_days,slow_days,sample,start,end,trading_days,ending_value,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,average_gross_exposure,average_daily_turnover,validation_rank
1,5,training,2020-01-02,2024-05-31,1111,0.8639548324011318,-0.03265420264752794,0.2410480668185259,-0.016053049102666705,-0.3439024229478541,1.5253905554244815,0.7950111475508278,1.0
1,5,validation,2024-06-03,2025-05-30,249,1.096053238796179,0.097675815385599,0.20551682260977985,0.5542016374969524,-0.15112359820743737,1.5393709355010166,0.7918695720281131,1.0
1,10,training,2020-01-02,2024-05-31,1111,0.858335939349417,-0.03408610535698431,0.2700023662256006,0.007565303718475407,-0.46772113932292825,1.7474554307880614,0.791382860208483,2.0
1,10,validation,2024-06-03,2025-05-30,249,0.9783917259482126,-0.02195294099489442,0.2547671306969215,0.040317685448434656,-0.1929566412739453,1.7609027733813227,0.7926069049605938,2.0
5,10,training,2020-01-02,2024-05-31,1111,0.9965543729178609,-0.0007832943128657233,0.27372317487256664,0.13420989394732144,-0.5265462208612621,1.8176494279863575,0.7911982232800738,3.0
5,10,validation,2024-06-03,2025-05-30,249,0.8742070872927876,-0.12768645005347712,0.2727187720153795,-0.36269486400472073,-0.23675916917809303,1.8286136131510538,0.7934151912898707,3.0
5,20,training,2020-01-02,2024-05-31,1111,1.543946718151273,0.10363288385542013,0.28584048441760546,0.48832855311061035,-0.4273763058750304,1.9005173217266371,0.7835548338574274,6.0
5,20,validation,2024-06-03,2025-05-30,249,0.7787781853693236,-0.22435608963891462,0.2860828981241637,-0.7412209536043017,-0.2819978128273314,1.9233259035730015,0.7938908663691445,6.0
10,20,training,2020-01-02,2024-05-31,1111,2.0660020889442965,0.1790797990008599,0.283597869351467,0.7229537591495426,-0.3940080048478367,1.9107383279839705,0.7832683832626853,4.0
10,20,validation,2024-06-03,2025-05-30,249,0.81424100693746,-0.18845332565059436,0.27595443847716805,-0.615379102274643,-0.29907790709611726,1.9325290539401139,0.7935656746452571,4.0
10,60,training,2020-01-02,2024-05-31,1111,1.843707176138539,0.14899794678076184,0.2944265665934418,0.6189628747294704,-0.4095531515516815,1.879424142741159,0.7549003303799376,7.0
10,60,validation,2024-06-03,2025-05-30,249,0.7477918241980244,-0.2557053151357431,0.28227262767421757,-0.9005094291747197,-0.36838766234283016,1.9760867794466939,0.793965779903281,7.0
20,60,training,2020-01-02,2024-05-31,1111,1.3439827587909905,0.06942132360633013,0.29218518661620047,0.3760558232533811,-0.44063439590937536,1.883089922491879,0.7552319262279403,5.0
20,60,validation,2024-06-03,2025-05-30,249,0.7972462107759787,-0.2056621712653387,0.27351164976782893,-0.7018138422795772,-0.34681617090877925,1.979662747860774,0.793749312460182,5.0
