feature,months,selection_frequency,mean_coefficient,mean_abs_coefficient
sma_macd_10_20,66,0.30303030303030304,-0.00047958670943764865,0.0016446499268679624
mom_20,66,0.25757575757575757,-0.0005490236898417089,0.001291723960695422
sma_macd_20_60,66,0.30303030303030304,-0.0008834414357694918,0.0011778061304260682
momra_20,66,0.21212121212121213,0.00024787416531995963,0.0009948699338845355
sma_macd_5_20,66,0.13636363636363635,0.0005845944787774862,0.0009429440074828564
sma_macd_1_10,66,0.15151515151515152,0.00018672126743452398,0.0009245430089938489
sma_macd_10_60,66,0.19696969696969696,0.0004793198276256997,0.0008724407907898158
mom_10,66,0.3181818181818182,-0.0001686615120146296,0.0008695129262313029
sma_macd_5_10,66,0.24242424242424243,-0.00033532835222032026,0.0007205663178482209
sma_macd_1_5,66,0.18181818181818182,-1.9127460309231424e-05,0.0005708096970162953
ewma_macd_0500_0333,66,0.12121212121212122,-0.00016033140424467364,0.000551826132646269
csmom_20,66,0.2878787878787879,0.0003521517376408815,0.0004452902619435877
mom_5,66,0.22727272727272727,-0.0003214656486941393,0.0003555394195960682
mom_3,66,0.19696969696969696,-0.00016546683659921806,0.00022385930214109068
