sample,csmom_group,observations,mean_return,std_return
training,0–20,8680,0.0005164050546447754,0.04382402789604966
training,20–40,7595,0.0009289380923759665,0.030706941013550718
training,40–60,7595,0.0010591636851088983,0.029647067048470473
training,60–80,7595,0.0006904885129153947,0.029968360970199108
training,80–100,8680,0.0030636592495916237,0.03882830069410768
validation,0–20,1944,0.002538760296457174,0.034987550846151745
validation,20–40,1701,0.002084427513163154,0.0257726537436218
validation,40–60,1701,0.002152445516920873,0.02437183768127972
validation,60–80,1701,0.0029923664164996384,0.02477637434866681
validation,80–100,1944,-0.0006576798653851533,0.03729323978920791
test,0–20,2112,0.004248832795098006,0.03424852670969232
test,20–40,1848,0.0027808203831366897,0.01988149412602082
test,40–60,1848,0.0022869024553066226,0.02221803800700872
test,60–80,1848,0.0026989321372476987,0.026449973532491525
test,80–100,2112,0.0034628621268271865,0.04515382304927878
