sample,mom_percentile_group,observations,mean_return,std_return
training,0–20,7053,0.0014393982175871962,0.032190994238166994
training,20–40,5978,-0.00016662673145893215,0.03070065140436027
training,40–60,6098,0.0005626689489776601,0.030092442275535494
training,60–80,5776,0.0012388311965301872,0.02923567954369381
training,80–100,5916,0.001284335883190465,0.029879788620074548
validation,0–20,2193,0.004487342006631385,0.03323649966038547
validation,20–40,1708,0.002868003541728558,0.028136008997840297
validation,40–60,1650,0.0004139025498780501,0.0297544202666911
validation,60–80,1741,0.0003778132879883728,0.029420331439161305
validation,80–100,1699,-7.430638896922845e-05,0.0298181793217692
test,0–20,1590,0.0066877532702881125,0.03611207609375935
test,20–40,2174,0.0029808122806150817,0.02757811466959381
test,40–60,2064,0.002302396618453585,0.024254872654091868
test,60–80,1978,0.0008740743373086028,0.027682517209499647
test,80–100,1962,0.0035907231461177825,0.04060547033455293
