sample,momra_group,observations,mean_return,std_return
training,< −1.5,1670,0.0022657667154117518,0.05816456428360345
training,"[−1.5, −0.5)",8892,0.0008510983701572032,0.04054565140778126
training,"[−0.5, 0.5)",14943,0.0008560537131665737,0.033379191253644844
training,"[0.5, 1.5)",11324,0.0019774724027463273,0.03012485367750733
training,≥ 1.5,3316,0.0014722998099031724,0.03129801503246947
validation,< −1.5,376,0.003590852311354255,0.02646337329003007
validation,"[−1.5, −0.5)",1755,0.004044425022886108,0.03430234487833509
validation,"[−0.5, 0.5)",3540,0.0024279032026551504,0.030915587554670255
validation,"[0.5, 1.5)",2643,-0.0002397955373972096,0.027592844065840286
validation,≥ 1.5,677,-0.0006726254943130034,0.02804909556453172
test,< −1.5,178,0.01297229726943602,0.03821833989105795
test,"[−1.5, −0.5)",1477,0.006352243908886856,0.03354660362762756
test,"[−0.5, 0.5)",4273,0.0022786572640323276,0.028073812374220162
test,"[0.5, 1.5)",2999,0.0011663719756428964,0.028162159679038453
test,≥ 1.5,841,0.006794165111336877,0.04874788171299237
