sample,momra_percentile_group,observations,mean_return,std_return
training,0–20,6995,0.0014447492947633825,0.031728781861894345
training,20–40,5915,5.327970634633729e-07,0.03242688869577506
training,40–60,5723,0.0006066964907032181,0.031517364107059236
training,60–80,5644,0.0006136375785808415,0.02892505242407194
training,80–100,6544,0.0015733632386391947,0.027684877125240752
validation,0–20,1941,0.0032059916026223653,0.03289422527298903
validation,20–40,1902,0.004358117556110731,0.029333386277713695
validation,40–60,1813,0.0009866897808400743,0.03035367179315449
validation,60–80,1747,0.0005215852616277642,0.02826023725557813
validation,80–100,1588,-0.0007923744713454394,0.030217956645222387
test,0–20,1795,0.005589585671621084,0.032439277810042126
test,20–40,2039,0.003488533371622442,0.03193348857627483
test,40–60,1987,0.0018617599507801763,0.025345883786192392
test,60–80,1903,0.00204974460166289,0.029447484093517017
test,80–100,2044,0.002883302957788796,0.03709345423340032
